date,predicted_revenue,lower_bound,upper_bound,is_forecast
2023-01-01,4379894.63,4379894.63,4379894.63,False
2023-02-01,2769477.2,2769477.2,2769477.2,False
2023-03-01,3885192.6,3885192.6,3885192.6,False
2023-04-01,4347474.24,4347474.24,4347474.24,False
2023-05-01,4848240.57,4848240.57,4848240.57,False
2023-06-01,4688298.79,4688298.79,4688298.79,False
2023-07-01,4515605.34,4515605.34,4515605.34,False
2023-08-01,4379811.61,4379811.61,4379811.61,False
2023-09-01,4622595.67,4622595.67,4622595.67,False
2023-10-01,8677394.94,8677394.94,8677394.94,False
2023-11-01,13368079.85,13368079.85,13368079.85,False
2023-12-01,10273306.86,10273306.86,10273306.86,False
2024-01-01,4367352.79,4367352.79,4367352.79,False
2024-02-01,2930941.41,2930941.41,2930941.41,False
2024-03-01,4088588.79,4088588.79,4088588.79,False
2024-04-01,4263479.17,4263479.17,4263479.17,False
2024-05-01,4883303.35,4883303.35,4883303.35,False
2024-06-01,4721684.44,4721684.44,4721684.44,False
2024-07-01,4367652.48,4367652.48,4367652.48,False
2024-08-01,4429328.29,4429328.29,4429328.29,False
2024-09-01,4846454.47,4846454.47,4846454.47,False
2024-10-01,8719541.92,8719541.92,8719541.92,False
2024-11-01,13899671.83,13899671.83,13899671.83,False
2024-12-01,10134372.56,10134372.56,10134372.56,False
2025-01-01,4945252.2,4853563.13,5042467.93,True
2025-02-01,3189595.35,2894770.69,3502358.19,True
2025-03-01,4796612.53,4230589.88,5353110.89,True
